t[s],Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter,Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter
1.65,154.540641753,-19.4353716161,305.358919465,-23.3903772421,116.45773849,34.3008040672,0.0,0.0,0.0,0.0,0.0,0.0
1.68,64.7556473837,-2.94012255495,225.580181382,-22.1346167386,74.6232356044,9.2842355978,0.0,0.0,0.0,0.0,0.0,0.0
1.71,17.1543754721,-1.67062713124,224.293193722,-22.5577456914,44.4717194671,1.21157050439,0.0,0.0,0.0,0.0,0.0,0.0
1.74,-0.921743750889,-0.765990455184,221.250612578,-23.4098646242,26.6021633869,-1.04269199701,0.0,0.0,0.0,0.0,0.0,0.0
1.77,-7.03912288999,-0.0318545720636,219.255714319,-24.0016880603,16.7165530535,-1.51147673777,0.0,0.0,0.0,0.0,0.0,0.0
1.8,-8.38877561392,0.427236655226,218.422266084,-24.3316563169,11.3842543257,-1.47803909185,0.0,0.0,0.0,0.0,0.0,0.0
1.83,-7.80308764646,0.637288234597,218.107058463,-24.4739283173,8.36296358536,-1.30684077779,0.0,0.0,0.0,0.0,0.0,0.0
1.86,-6.49614644855,0.674740239404,217.839647377,-24.4762941447,6.3715896413,-1.10837242345,0.0,0.0,0.0,0.0,0.0,0.0
1.89,-5.01624615362,0.601071992045,217.383280603,-24.3615548846,4.76882029809,-0.924519204691,0.0,0.0,0.0,0.0,0.0,0.0
1.92,-3.57783775929,0.453829826293,216.616712953,-24.134762948,3.29219747091,-0.77124963061,0.0,0.0,0.0,0.0,0.0,0.0
1.95,-2.21738256031,0.274499390541,215.431419143,-23.7921879438,1.88131476461,-0.650019430753,0.0,0.0,0.0,0.0,0.0,0.0
1.98,-0.891468191569,0.154881624227,213.669382608,-23.3448936708,0.562327350549,-0.551180768161,0.0,0.0,0.0,0.0,0.0,0.0
2.01,0.465203611062,0.246900753388,211.166073075,-22.8894026178,-0.639666931552,-0.453983332459,0.0,0.0,0.0,0.0,0.0,0.0
2.04,1.79231394669,0.21980665174,210.381127775,-22.7536661743,-1.84216803771,-0.306530130941,0.0,0.0,0.0,0.0,0.0,0.0
2.07,3.15096050078,0.0407568348827,211.490951298,-22.9401648772,-3.2032354456,-0.0930799305594,0.0,0.0,0.0,0.0,0.0,0.0
2.1,4.4901169955,0.0166144718722,212.149808246,-23.1225406165,-4.74874308619,0.139213573724,0.0,0.0,0.0,0.0,0.0,0.0
2.13,5.61633182541,-0.00685760259486,212.499153294,-23.2016941637,-6.56829400834,0.355441193642,0.0,0.0,0.0,0.0,0.0,0.0
2.16,6.27092630836,-0.118175702453,212.692547416,-23.1689993283,-8.85793037014,0.511343983875,0.0,0.0,0.0,0.0,0.0,0.0
2.19,5.94654484382,-0.345811476752,212.907792445,-23.0472766572,-12.0414963909,0.538712547002,0.0,0.0,0.0,0.0,0.0,0.0
