t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz
1.38,0.38396060692824513,0.0002091230851068154,0.8908750605960101,0.0010354041100490378,-0.000305765475386934,-6.363363724300898e-05,0.9999994151981106,0.4596254766954874,0.0023469739481903323,-0.06928700597723185,-0.01239565914137047,0.006110996108944279,0.0011674164180330556
1.41,0.3983168921864997,0.0003069553731703876,0.8883988671160072,0.0008641462782905738,-0.00015258267138306276,-6.234401952782349e-05,0.9999996130414057,0.4785045554550831,0.00316435903890322,-0.08276521665563463,-0.011417819414650998,0.010211547585365929,7.889254589353383e-05
1.44,0.41310026289403845,0.0004472613091746272,0.8855050875802178,0.0006974572554539637,6.943062815824007e-05,-9.068944846867776e-05,0.9999997502540631,0.4927702950477987,0.004601609621782582,-0.0965075393663704,-0.011113816352882673,0.014798556719215306,-0.0019007885265446879
1.47,0.4279409399447788,0.0006493686472533601,0.8822171104591436,0.0005176203201937639,0.0003323997693706947,-0.00016393340990508677,0.9999997973526967,0.4947315290121707,0.006729823653729259,-0.10940863213712178,-0.011990379303417485,0.0175267788736215,-0.004895989073833793
1.5,0.44207671135001436,0.0009201781504163735,0.8786314340825476,0.00029301336789172713,0.0005288314009055679,-0.00028044130601870016,0.99999977791657,0.4712911134291453,0.00913966699598788,-0.11912406476149692,-0.014973358338389276,0.013088964940573291,-0.007778947599229291
1.53,0.45413086981004963,0.001203327778998961,0.8749807689763744,-2.5061033868820583e-05,0.00043452970553867416,-0.0003512171961985058,0.9999998436011681,0.4019162967288329,0.009659602790095433,-0.12130426215874524,-0.02120069879088571,-0.00629411003022845,-0.004727762231679697
1.56,0.4618504960189898,0.0012383332519838484,0.871751501458855,-0.0004159107712703878,-0.00022938593345241806,-2.350350401972549e-05,0.9999998869239481,0.2573425072633868,0.00131071709098899,-0.10758891942216439,-0.026050596238822936,-0.04427074117010612,0.021835148011323798
1.59,0.46230830827852076,0.0011381081399255664,0.871789126061398,-0.00016177142288285277,7.156799569537265e-06,-3.05003141170312e-05,0.9999999864242588,0.015260867360731678,-0.0033407360895304815,0.0012488321752169573,0.016942146772558613,0.01577010780444752,-0.00046378149523145645
1.62,0.46230830827852076,0.0011381081399255664,0.871789126061398,-0.00016177142288285277,7.156799569537265e-06,-3.05003141170312e-05,0.9999999864242588,0.015260867360731678,-0.0033407360895304815,0.0012488321752169573,0.016942146772558613,0.01577010780444752,-0.00046378149523145645
1.65,0.4668155261607744,0.0029096827034705433,0.8705416832064174,0.0038879619033464594,0.0021275058902835396,-0.0016146290779073468,0.9999888751600517,0.15023207252072523,0.0591448391664919,-0.0414808878354235,0.26997959583223197,0.14138247995245096,-0.1055842176251369
1.68,0.4745698383334118,0.002634771950785739,0.8726618453461435,0.0015471282513182573,0.0006953204434049406,-0.0008804263459546137,0.9999981738848848,0.2582981949712303,-0.008132914811716345,0.0714486257661193,-0.15600643222916044,-0.09554108336400147,0.048986580760613935
1.71,0.4849687192652445,0.0023746654266518026,0.8749109144822101,0.0004040891901388398,-0.0002130952109031878,-0.0002805689200650247,0.999999856291709,0.34660299415210866,-0.008121392806337377,0.07515256600847094,-0.07617715675462147,-0.060566256523171824,0.04003124787770729
1.74,0.4966191821914367,0.002066620181192305,0.8771477708879573,-0.00012351553465509468,-0.00044784197450056925,2.5224905531110427e-05,0.9999998917725854,0.3884005794775582,-0.010148128952052726,0.07430806749376208,-0.03516491166676726,-0.01565141336781651,0.02040007347011637
1.77,0.5086516540072751,0.0017468107050122549,0.8792057920933286,-0.00040355012600302135,-0.00037343832174519215,0.0001409549068446181,0.999999838911402,0.4011368182191389,-0.010763039850776347,0.06826564076643128,-0.01866539110232697,0.004959759441973004,0.007724306216860899
1.8,0.5206124827238331,0.00144799676185307,0.8809849879781297,-0.0005904945775739002,-0.00024383143365248267,0.00016852565461819035,0.999999781730721,0.39872771005320246,-0.010142682648296927,0.059050426348419144,-0.012461058764441722,0.008641471436960533,0.0018461911155168917
1.83,0.5323184079216967,0.0011855456352223661,0.8824517278460636,-0.0007440752045531595,-0.0001550975465045707,0.00016496023019439224,0.999999697542436,0.3902140278346253,-0.008943635340132958,0.048723859110157454,-0.010237770626781816,0.005917455690491612,-0.00023170432081703364
1.86,0.5437354768962802,0.0009639309210977136,0.8836051115266711,-0.0008896865823147326,-0.00012153559344325514,0.00015556962095837555,0.9999995847424027,0.380577187698789,-0.007571857773499449,0.038328623841805756,-0.009707155884599208,0.002239528863108903,-0.0006228687492413801
1.89,0.5549000514722883,0.0007819517762238061,0.8844517428663624,-0.0010402917724394796,-0.00013185196195217733,0.0001498185078957356,0.9999994389810941,0.37215774515561434,-0.006233987005705027,0.028114875856089457,-0.01004050411453356,-0.0006858557132548154,-0.0003827974975825402
1.92,0.5658761796591353,0.0006351476348782149,0.8849932822689961,-0.0012025638373922758,-0.00017273419753059433,0.00015036331215504932,0.9999992506967135,0.3658749277119808,-0.005043649326907021,0.017928729834981706,-0.01081854824168129,-0.0027238995370545797,3.4913240094692414e-05
1.95,0.57673701743393,0.0005167666948793397,0.8852211305355382,-0.0013763395452793873,-0.00023419414971580485,0.00015680304345397825,0.999999013127194,0.3620297524411573,-0.0040766185111842015,0.007437277574439932,-0.011585599554289096,-0.004096104147650708,0.00042639131487496614
1.98,0.5875595528291204,0.00041867431535174044,0.885112926382109,-0.0015476974011886652,-0.0003073999500655675,0.00016652170668258462,0.9999987412034809,0.3607480969136921,-0.0033755398758117654,-0.003811900672675849,-0.011424484326191404,-0.004879486597321242,0.0006438714200952485
2.01,0.598424646147921,0.0003346248042645382,0.8846275280420766,-0.0016718894802236956,-0.00037962793102863895,0.0001738601314288245,0.999998515219325,0.36215760723897295,-0.002872416974725293,-0.016437895653421443,-0.008280136305413742,-0.004814575782886495,0.00048432284969632657
2.04,0.6094155064689142,0.0002722280436693395,0.8836992662523553,-0.0016482040079022805,-0.00042815159967305214,0.00016741182590649436,0.9999985360404466,0.3663361805905222,-0.0021016833419229904,-0.03124493102071406,0.0015783058458449517,-0.003234461721480189,-0.0004358944966131621
2.07,0.6206110294973384,0.00022955424879256023,0.8823159107042764,-0.0014799328047250132,-0.00044250094511119283,0.00014583815439579446,0.9999987963607955,0.37314336893035893,-0.0013945939468145592,-0.046441154056234876,0.011217316510457688,-0.0009561217214343093,-0.0014446253231060271
2.1,0.6320796061213257,0.00019341342213048012,0.8805196126428876,-0.001272080088584829,-0.00043008137107337365,0.00011841595793077645,0.9999990914095489,0.38223318335464956,-0.0011404633922178404,-0.06021338233559215,0.013856172069379705,0.0008286639927654897,-0.0018330534385590192
2.13,0.6438762978414714,0.0001614141877869875,0.8783303964984719,-0.0010719535161657883,-0.0003937847426290131,9.03402264349371e-05,0.9999993438437244,0.3931625888925385,-0.0009772873276186185,-0.0733002056336896,0.01334126242396108,0.002420581379144144,-0.00187437563790681
2.16,0.6560394504651222,0.00012990561525800344,0.8757531249942292,-0.0008952530540714432,-0.0003309589462403481,6.592851180049932e-05,0.9999995423206834,0.40537589592735385,-0.000944347157784557,-0.08620482872632572,0.011779774846566733,0.004189069250698038,-0.0016275968203444625
2.19,0.6685794800434871,9.07683301799599e-05,0.8727841456448353,-0.0007434964964089655,-0.0002335518737910559,5.033676496296222e-05,0.9999996950662995,0.4179449069623133,-0.0011907974659999393,-0.0992039736733053,0.01011719249709819,0.006494068828498368,-0.0010369847378700892
2.22,0.6814528428554039,3.073596512333758e-05,0.8694174847789808,-0.0006113314193430385,-9.18735165469229e-05,5.1278723921268206e-05,0.9999998076018041,0.4290753542914557,-0.001892544801627984,-0.11236430519628413,0.008811498192501991,0.009444732540354491,6.776153157245766e-05
2.25,0.6945120929910267,-6.817973199130069e-05,0.8656536566730333,-0.00048777760404110007,9.404131841631617e-05,8.051842521177678e-05,0.9999998733730033,0.43530818323521114,-0.003216667143162621,-0.12546357422393997,0.008237736840793595,0.012392706398428129,0.001956133119765718
2.28,0.7074210569902526,-0.00022558341420140084,0.8615140390964058,-0.00035201575188639414,0.00028876455551302,0.00015254287910822708,0.9999998847152993,0.43035037394807335,-0.0052312695527067,-0.13782692344157968,0.009051383161491487,0.012978476674890285,0.0048088128973561815
2.31,0.7195252787282075,-0.0004480785689575202,0.8570638112693579,-0.0001620660692022382,0.00038073533135937407,0.0002695588249403821,0.9999998780566108,0.4035701347006027,-0.007510642585712081,-0.14807460900815636,0.012661993314306414,0.006126706742041091,0.007806877359451552
2.34,0.7296767331521569,-0.000670635495623478,0.8524526994525217,0.00014929243474131695,0.00016196385421239032,0.00035913284941510473,0.9999999112515336,0.3384604527466466,-0.007629361401875453,-0.15352016774832739,0.020751026900359335,-0.014591327668344378,0.005977139775819229
2.37,0.7360491074022633,-0.0005963446978184839,0.8480772722255792,0.0005164106300023971,-0.0005103638967984179,0.00012780915659009928,0.9999997282567499,0.21236282147556768,0.0022758356792440615,-0.14592316320941146,0.024460949350138747,-0.04483294083684222,-0.015410919861376821
2.4,0.7369114291062134,-0.0004753825067693732,0.8481384502566763,0.00013988630607230683,-5.510396117380142e-05,0.00013629385791580272,0.9999999794096793,0.028746269761425025,0.004025814428577202,0.002020369181932491,-0.02509745710270849,0.030354164761889485,0.0005627820508401753
2.43,0.7369114291062134,-0.0004753825067693732,0.8481384502566763,0.00013988630607230683,-5.510396117380142e-05,0.00013629385791580272,0.9999999794096793,0.028746269761425025,0.004025814428577202,0.002020369181932491,-0.02509745710270849,0.030354164761889485,0.0005627820508401753
2.46,0.7438058516338338,-0.002335922180451582,0.8482092901740552,-0.0027690616433237226,0.002374619197098686,0.0015418361828781378,0.9999921580804868,0.22970400499845015,-0.06241008940836444,0.0027308880946527656,-0.19390307397396392,0.16202149227763177,0.09369117327551005
