t[s],q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch
0.66,-8.050045605256604e-05,0.0008736599235074918,-0.025232518087363695,0.37630117108543365,0.00048756555934815083,-0.35143084430777227,-0.00029519202530673533,0.0008839410515479167,-0.4537798930828555,0.5643328624410785,0.0004338684319127743,-0.10990471049230294,-0.002630240646101888,-0.012054651154373796,-0.0004255066371050345,0.6421305472435775,-0.0022146001338478496,-0.65212288576055,0.0016321524470490382,-0.014670537114369222,0.03720167166661553,-0.4185676604849067,0.001059030327488553,0.37495620635082644,-0.5080176463189355,24.078157568214834,6.643757623972348,8.879359273572542,22.25884224721776,41.62848264615967,-1.7942764303360819,0.05867134342266034,-6.937408076280278,0.8519220979004541,0.0028912519736416435,-0.18026502191550803
0.69,-0.000192987565879557,0.00038639916944109185,-0.02611385572550885,0.39639602136312524,0.00042889441016068426,-0.3708699791862438,-0.000277838471722877,0.00036067943072813863,-0.4523802915493443,0.5506080973686183,0.00047342467104570697,-0.09787016939328592,-0.003749570327566366,-0.016242025135546664,-0.02937792127150519,0.669828342589719,-0.001955704972915552,-0.6479711626157175,0.0005784517861286112,-0.017442054027325935,0.04665338445037359,-0.4574921690820062,0.0013185413044310894,0.4011513699672337,1.6679574021044676,24.328182127709933,5.435212487226736,13.371183896311122,22.37299172859196,54.01331184086164,-1.3076015584779472,0.1837199063417463,-5.219157234315573,1.4041479331122195,0.006471291744443504,-0.12781768978281538
0.72,-0.0002299153812100506,-0.0004313551109776443,-0.028478420123236585,0.417326626762463,0.0004455599870732853,-0.3892881207361819,-0.0002445409888787474,-0.00040154854696927364,-0.4507214251560845,0.5359814600288348,0.0005547443034222124,-0.08521310421854257,-0.00123092717768312,-0.02725847601395787,-0.07881881325759113,0.6976868466445918,0.000555519230420035,-0.613938051664604,0.00110991609480432,-0.02540759925658041,0.05529554644199389,-0.48755457799277996,0.00271065441255018,0.4219021724914451,6.1250400573290955,25.41264406975202,2.0095359689200056,19.699859610016137,23.29851906990687,72.66148753362602,-0.2909205745845941,-0.20197992909923393,-1.0081710717944552,2.933314210292475,-0.015638852472434198,0.023994789249566013
0.75,0.0001808587174862897,-0.0017964850398475853,-0.0331514661892066,0.43903780375755724,0.000749132880267372,-0.40526192107082465,-6.474033887873094e-05,-0.0018794484939626938,-0.4480801092078059,0.5209922511286655,0.0007583488704497849,-0.07232780641099737,0.013692469956544677,-0.04550433096233138,-0.15576820219900045,0.7237058998364747,0.010119096439802891,-0.5324600111547577,0.005993355000000549,-0.04926333156644734,0.08804386494261965,-0.49964029667230886,0.006786818900919082,0.4295099269181735,12.294380423145691,33.26313833183486,-5.755168139115594,22.293972054362747,26.211384670201316,101.66212158432126,1.763404898906426,0.11802323981247607,6.819734114771419,8.28965774460997,0.00850157011665719,0.5246714839392435
0.78,0.00021161195824264499,-0.0011477395267096315,-0.032922554222532825,0.4389453661046871,0.0009416198609776998,-0.4059305507423179,-9.403127457576702e-05,-0.0012483411482071298,-0.44809810876418604,0.5213412018789066,0.0009551205500278706,-0.0731754241139707,0.0010251080252118433,0.021624850437931803,0.0076303988891257,-0.00308125509567192,0.006416232690344262,-0.022287655716440757,-0.000976364523234536,0.02103691152518547,-0.0005999852126723632,0.011631691674702405,0.006559055985936192,-0.02825392343244404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.81,0.00021161195824264499,-0.0011477395267096315,-0.032922554222532825,0.4389453661046871,0.0009416198609776998,-0.4059305507423179,-9.403127457576702e-05,-0.0012483411482071298,-0.44809810876418604,0.5213412018789066,0.0009551205500278706,-0.0731754241139707,0.0010251080252118433,0.021624850437931803,0.0076303988891257,-0.00308125509567192,0.006416232690344262,-0.022287655716440757,-0.000976364523234536,0.02103691152518547,-0.0005999852126723632,0.011631691674702405,0.006559055985936192,-0.02825392343244404,-5.632770862479592,7.798871491217937,5.767000530998467,-25.342114158237052,-0.5332373857895625,-32.107911825034265,-5.462164511042286,7.854853725755689,-10.640358909513354,-13.964284707951569,-0.5428381060339562,-24.20444987330018
0.84,-0.003731745326473013,0.010542715591771107,-0.03253069224659098,0.44342815863500273,-0.001144999906489407,-0.4158554723594088,-0.0033372004572256677,0.010647591591610342,-0.4461232539529552,0.5276014118602369,-0.0011728913433208992,-0.08458132381854569,-0.13144524282385528,0.38968183728269123,0.013062065864728297,0.14942641767718723,-0.06955399224890356,-0.33083072056969726,-0.10810563942166336,0.39653109132724906,0.06582849370769404,0.20867366604434034,-0.07093372977829233,-0.3801966568191665,16.951515916170692,1.6744007760041344,-68.20665634692314,-19.636031850577258,0.005301596291800428,-2.7593040244232863,49.81111174357693,-43.199056277342265,65.85885005935235,-45.174126368336026,-31.990314610696338,-103.76734709422958
0.87,-0.0025099964005458387,0.004921482741366421,-0.06236280935817402,0.46817056543968205,-0.001396832950854753,-0.40864419408213015,-0.0019343742640888202,0.004945664315177312,-0.4225920668474395,0.5113594430052996,-0.0012214707620909712,-0.08953420378905756,0.04072496419757246,-0.18737442834682283,-0.994403903719435,0.8247468934893101,-0.008394434812178199,0.24037594257595346,0.046760873104561576,-0.19006424254776755,0.7843729035171905,-0.5413989618312457,-0.0016193139590024025,-0.16509599901706223,2.7792378389097627,0.4290956200772514,-10.986545287383555,-1.0484018378226512,0.013790975728624987,-0.6037205346284699,11.24990827179515,-24.34341747407364,8.332896986764155,-44.40480516361661,-23.42440170623361,-65.26815956601455
0.9,-0.001149524183404643,0.0025610949078853683,-0.09539199971450596,0.4935255028639132,-0.0015482526166136468,-0.40103754626075083,-0.0007204630915596763,0.002231257062710526,-0.39680405627132675,0.4956080849492624,-0.0013299570132274574,-0.09826897863970538,0.04534907390470653,-0.07867959444936844,-1.1009730118777312,0.8451645808077064,-0.005047322191963128,0.2535549273793109,0.04046370575097147,-0.09048024174889287,0.8596003525370921,-0.5250452685345721,-0.003616208371216208,-0.2911591616882606,-0.9896032717780756,-0.6014247416213512,4.132168963400881,4.493081136406959,-0.02518093860536647,-0.027048635266303283,-0.7633709927857787,-23.277114680245607,-5.688516175549397,-37.480899869133694,-21.723974780761168,-35.323685480624704
0.93,-0.0003233184158821106,0.0012086358349407238,-0.12657994574519668,0.5191661371733672,-0.0014843660476358837,-0.394859995165503,-8.020696640967764e-05,0.0008932527404855238,-0.37102599536495756,0.4804114678780524,-0.0012946612414048311,-0.10867212003076455,0.027540192250751078,-0.04508196909815482,-1.039598201023024,0.8546878103151353,0.0021295522992587704,0.20591836984159465,0.02134187083833329,-0.04460014407416674,0.8592686968789732,-0.506553902373667,0.0011765257274208756,-0.34677137970197236,-1.387954518627975,-0.13060067749293777,5.496512807884922,4.835457702042383,-0.007690726092124162,0.009261904792073967,-3.3013625583373294,-23.522804023632283,-6.269565207424182,-28.772708623409045,-21.94212303456864,-17.263661631429187
