LR_fx,LR_fy,LR_fz,LR_taux,LR_tauy,LR_tauz,LL_fx,LL_fy,LL_fz,LL_taux,LL_tauy,LL_tauz
5.01747381584,-0.248042382096,212.533861737,-23.0853840039,-10.8094753549,0.435945551915,0.0,0.0,0.0,0.0,0.0,0.0
4.98386165924,-0.530983417644,212.931672297,-22.9589208121,-13.7405919863,0.479812860931,0.0,0.0,0.0,0.0,0.0,0.0
3.20558632558,-0.946426931055,213.404270253,-22.7452147105,-18.1149096686,0.289853833842,0.0,0.0,0.0,0.0,0.0,0.0
-2.09859826859,-1.43717684831,214.451513488,-22.5399704808,-25.317327877,-0.352123937798,0.0,0.0,0.0,0.0,0.0,0.0
-14.0943738832,-1.7277205752,216.764484319,-22.6007330902,-37.6196458424,-1.84313297257,0.0,0.0,0.0,0.0,0.0,0.0
-38.4749004483,-0.888629970026,221.106250678,-23.7448558838,-58.4091146825,-4.98484944124,0.0,0.0,0.0,0.0,0.0,0.0
-85.6067579767,3.29624237736,231.010290821,-28.6001866319,-92.3057335439,-11.5338383946,0.0,0.0,0.0,0.0,0.0,0.0
-169.440314121,5.2405587144,328.455442155,-41.0422491907,-147.738847502,-23.2632360381,0.0,0.0,0.0,0.0,0.0,0.0
16.7903174716,0.19255743781,35.1094919053,-0.0232407476106,2.59389518291,-0.00945237996133,0.0,0.0,0.0,0.0,0.0,0.0
82.849301059,-14.7945503997,170.477380143,4.00256428605,41.5088189315,2.61990972229,34.750289443,-13.1756522991,49.4938948695,2.94158130708,33.7337736426,4.37232744411
0.0,0.0,0.0,0.0,0.0,0.0,155.25261261,30.3389255088,319.998972479,17.2573178357,110.533630904,-36.7822578382
0.0,0.0,0.0,0.0,0.0,0.0,57.0164062663,3.95440636296,227.218866795,22.6972078883,68.1387498432,-8.33743486045
0.0,0.0,0.0,0.0,0.0,0.0,9.0736444863,-0.241602076318,220.822212937,24.0045213001,38.5698490894,0.0725384394003
0.0,0.0,0.0,0.0,0.0,0.0,-6.70060302175,-1.20449431289,216.940624363,24.3450819008,22.6565865836,1.94314485344
0.0,0.0,0.0,0.0,0.0,0.0,-10.4045389171,-1.27227805664,215.319364318,24.3437274769,14.8529164398,1.99810237435
0.0,0.0,0.0,0.0,0.0,0.0,-9.88278901385,-1.08907479992,215.183652742,24.2771022396,11.1502669433,1.6590965944
0.0,0.0,0.0,0.0,0.0,0.0,-8.04325666844,-0.869731786932,215.452595684,24.2000082307,9.16789779221,1.29087780649
0.0,0.0,0.0,0.0,0.0,0.0,-6.0501996075,-0.677082600519,215.502746902,24.0942282632,7.67869480202,0.984390579909
0.0,0.0,0.0,0.0,0.0,0.0,-4.35554576771,-0.511437067684,215.069026078,23.9286327413,6.1570383316,0.761697716673
0.0,0.0,0.0,0.0,0.0,0.0,-3.05731137645,-0.355565747991,214.027323676,23.6702720038,4.46132946419,0.620456298029
0.0,0.0,0.0,0.0,0.0,0.0,-2.07217347446,-0.216381360421,212.25069847,23.2894425173,2.64221426613,0.545346925106
0.0,0.0,0.0,0.0,0.0,0.0,-1.23239502973,-0.175138892319,209.550969005,22.7854587165,0.833125791333,0.509676942808
0.0,0.0,0.0,0.0,0.0,0.0,-0.338176756158,-0.388100183391,205.881490539,22.2793524338,-0.831958220999,0.473578264676
0.0,0.0,0.0,0.0,0.0,0.0,0.514798369199,-0.356577170432,205.443254677,22.1951272971,-2.4876774618,0.373280467197
0.0,0.0,0.0,0.0,0.0,0.0,1.48826484845,-0.0516824642352,208.328354081,22.5316443335,-4.25308867921,0.189610165812
0.0,0.0,0.0,0.0,0.0,0.0,2.65480975218,0.0517764988274,210.416243788,22.8609529275,-6.04423676955,-0.027825910827
0.0,0.0,0.0,0.0,0.0,0.0,3.78938197704,0.125580212607,211.74488966,23.0490529844,-7.93896068879,-0.241183597073
0.0,0.0,0.0,0.0,0.0,0.0,4.652548745,0.278616380171,212.517059754,23.0788243202,-10.0958670334,-0.410004972169
0.0,0.0,0.0,0.0,0.0,0.0,4.77129605301,0.560648987368,212.953852773,22.9633887018,-12.8832811954,-0.470592754255
0.0,0.0,0.0,0.0,0.0,0.0,3.16758846364,0.991039563092,213.373633987,22.7360939683,-17.0651921613,-0.299428183517
0.0,0.0,0.0,0.0,0.0,0.0,-2.00910944478,1.53357707879,214.289630404,22.4808448453,-24.0526756801,0.335103427088
